Year,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,WAR,BABIP
2009,1064,179.94,5.19,41864,41137,36110,5492,9938,1753,158,1155,15472,5186,1056,399,4290,564,164,6939,938,559,337,185.13,0.31
2010,1064,186.22,-8.05,41597,40699,35879,5301,9681,1650,138,990,14577,4996,1113,470,4045,616,161,7025,831,733,320,178.17,0.308
2011,1064,183.98,3.33,41068,40153,35543,4822,9409,1562,162,770,13605,4534,933,448,3936,514,130,7004,830,782,290,187.31,0.308
2012,1064,185.53,-7.94,40527,39563,35199,4380,9072,1577,160,615,12814,4095,1022,460,3698,498,140,6672,784,822,308,177.59,0.3
2013,1152,196.19,0.16,44890,44129,38791,5352,10410,1844,192,798,15032,5017,1167,502,4351,703,129,7785,912,677,362,196.34,0.315
2014,1152,159.17,-0.05,45853,45176,39870,6477,11533,2155,237,1162,17648,6120,1024,436,4351,617,104,7657,900,613,402,159.12,0.33
2015,1440,198.71,-1.08,56742,55773,49342,7598,13804,2482,202,1511,21223,7163,1202,526,5254,871,211,10553,1147,834,438,197.63,0.326
2016,1440,199.82,0.63,57614,56872,50280,8074,14560,2480,248,1483,21985,7613,1058,547,5373,800,140,9743,1172,651,507,200.45,0.331
2017,1440,199.65,-2.07,56882,56157,50346,7682,14397,2584,219,1547,22060,7272,778,407,4520,953,185,10009,1178,600,459,197.58,0.328
2018,1440,199.66,-0.84,56903,56349,50547,7994,14445,2639,187,1756,22726,7581,928,410,4622,860,170,10688,1138,447,427,198.82,0.329
2019,1440,198.93,-2.23,55627,55099,49225,6548,13145,2288,227,1014,18929,6184,993,423,4749,711,147,9595,1122,436,505,196.69,0.31
2020,1440,199.88,-0.26,56643,56060,49658,7436,13547,2325,183,1363,20327,7042,892,377,5314,716,163,9855,1174,486,468,199.63,0.313
2021,1440,199.3,0.37,56076,55470,48402,6896,12566,2181,163,1158,18547,6511,941,394,5891,792,180,10196,1078,497,493,199.67,0.304
2022,1440,198.49,-0.95,55963,55206,49276,6523,12801,2220,203,1085,18682,6121,890,367,4930,721,208,10469,1076,610,422,197.54,0.307
2023,1440,198.85,-2.13,56231,55462,49236,6622,12969,2221,222,924,18406,6181,1040,397,5140,696,175,9970,1015,673,485,196.72,0.31
2024,1440,200.49,-2.2,57265,56688,50205,7740,13929,2381,229,1438,21082,7333,1152,397,5265,783,150,10826,1013,482,528,198.29,0.325
